epoch,DBP_loss,DBP_mae,SBP_loss,SBP_mae,loss,val_DBP_loss,val_DBP_mae,val_SBP_loss,val_SBP_mae,val_loss
0,32.33575439453125,4.262247085571289,59.25019836425781,5.781607151031494,91.58592987060547,27.67961883544922,4.056882381439209,53.11330795288086,5.623968601226807,80.79293060302734
1,18.022079467773438,3.267909288406372,30.978017807006836,4.216372489929199,49.00008010864258,31.09279441833496,4.40219783782959,65.03189849853516,6.26897668838501,96.1246566772461
2,12.31363296508789,2.762179136276245,17.453712463378906,3.1936752796173096,29.767366409301758,29.78411865234375,4.266819477081299,64.40691375732422,6.2069292068481445,94.1910171508789
3,14.684651374816895,2.9305315017700195,23.07390022277832,3.494924306869507,37.758544921875,30.98580551147461,4.28425407409668,59.877296447753906,5.8211894035339355,90.86312103271484
4,15.612896919250488,3.1200335025787354,24.448503494262695,3.783083200454712,40.06138229370117,33.40806198120117,4.337595462799072,66.56707000732422,6.0755510330200195,99.97515869140625
5,9.53132152557373,2.4535276889801025,10.224313735961914,2.483664035797119,19.755630493164062,29.84861183166504,4.2642035484313965,60.61914825439453,5.805316925048828,90.46772766113281
6,7.507038593292236,2.186663866043091,5.820702075958252,1.8779500722885132,13.327736854553223,30.533023834228516,4.29702615737915,60.87991714477539,5.768510341644287,91.41295623779297
7,6.565184593200684,2.0422747135162354,4.796079635620117,1.7148196697235107,11.361266136169434,30.23265838623047,4.230375289916992,60.965694427490234,5.8266119956970215,91.19837951660156
8,6.027808666229248,1.9309128522872925,5.005505084991455,1.7401659488677979,11.033319473266602,30.61037254333496,4.301776885986328,58.78132629394531,5.768167018890381,89.39168548583984
9,5.132033348083496,1.7775297164916992,4.390162944793701,1.6362394094467163,9.522196769714355,29.289682388305664,4.165186882019043,56.61545181274414,5.604100227355957,85.90513610839844
